,Center Word,Context Words Array,Average Similarity Score,Variance
0,gardens,"['backyard', 'beautiful', 'clients', 'colorful', 'designs']",0.33344613015651703,0.02971496744067963
1,writes,"['assists', 'author', 'captivating', 'clinic', 'desk']",0.33445591628551485,0.022456564386680318
2,practices,"['conductor', 'leads', 'music', 'musician', 'orchestra']",0.22605611383914948,0.0013729379418474963
3,designs,"['architect', 'blueprints', 'buildings', 'designs', 'engineer']",0.48573678731918335,0.07357143611223371
4,captures,"['breathtaking', 'captures', 'events', 'landscapes', 'memorable']",0.457988041639328,0.0761458386787494
5,analyzes,"['analyzes', 'astronomer', 'astrophysicist', 'bodies', 'celestial']",0.3216608315706253,0.11668862975350507
6,daily,"['business', 'company', 'daily', 'develops', 'entrepreneur']",0.2799505047500134,0.1331146517002745
7,scenic,"['camper', 'explores', 'hiker', 'lake', 'mountains']",0.3843819260597229,0.022580840622432208
8,entertains,"['anecdotes', 'applause', 'audience', 'comedian', 'entertains']",0.543162077665329,0.059614438628705815
9,dog,"['bed', 'cat', 'cozy', 'dog', 'sleeps']",0.3266716286540031,0.13052593482861524
10,waterfall,"['cascades', 'flows', 'forest', 'mountainside', 'river']",0.38900874853134154,0.01800136862281953
11,prepares,"['baker', 'bakes', 'bread', 'chef', 'delicious']",0.22943591475486755,0.005364926046295669
12,grades,"['diligently', 'evening', 'exams', 'grades', 'papers']",0.42263365983963014,0.10250381416001013
13,cyclist,"['along', 'car', 'cyclist', 'highway', 'pedals']",0.4584627240896225,0.098601236247498
14,researcher,"['analyzes', 'conducts', 'data', 'experiments', 'laboratory']",0.4429890811443329,0.00911283837318706
15,bedtime,"['bedtime', 'child', 'colorful', 'night', 'parent']",0.39657728374004364,0.10919735744162669
16,coach,"['athlete', 'coach', 'game', 'gym', 'hard']",0.4315739780664444,0.08698440251092018
17,intricate,"['artist', 'beautiful', 'canvas', 'clay', 'creates']",0.36571626663208007,0.003253931268539248
18,sun,"['night', 'ocean', 'sets', 'sky', 'stars']",0.3595223642885685,0.03928613914703094
19,sun,"['around', 'earth', 'moon', 'revolves', 'sun']",0.4140035182237625,0.09417942004470796
20,cozy,"['bed', 'cat', 'contentedly', 'cozy', 'curls']",0.4721422016620636,0.074358694748125
21,stream,"['flows', 'meadow', 'meanders', 'river', 'stream']",0.5451773345470429,0.08078465592295972
22,chef,"['assists', 'chef', 'creation', 'culinary', 'dish']",0.4793677657842636,0.10922586662874392
23,quizzes,"['afternoon', 'diligently', 'exam', 'grades', 'history']",0.2459160327911377,0.00468714725298419
24,mountain,"['car', 'cyclist', 'incline', 'mountain', 'pedals']",0.3573267623782158,0.11875590409153233
25,conducts,"['analyzes', 'conducts', 'data', 'experiments', 'field']",0.4654375731945038,0.07295769992645718
26,bedtime,"['bedtime', 'blocks', 'building', 'child', 'giggles']",0.33132822066545486,0.11553107815861359
27,championship,"['athlete', 'center', 'championship', 'coach', 'fitness']",0.456269770860672,0.08385144233022856
28,mural,"['artist', 'canvas', 'clay', 'intricate', 'meticulously']",0.32337685525417326,0.01847282229456578
29,sun,"['behind', 'city', 'clear', 'night', 'sets']",0.18874246254563332,0.017492814408433522
30,sky,"['enjoy', 'passengers', 'plane', 'scenic', 'seats']",0.2517539620399475,0.020653048815319205
31,crashing,"['crash', 'crashing', 'ocean', 'rocky', 'seagulls']",0.4347051948308945,0.1436620716721278
32,lecture,"['chalkboard', 'complex', 'equations', 'lecture', 'mathematician']",0.43275378048419955,0.09038414372294558
33,clients,"['backyard', 'beautiful', 'clients', 'cultivates', 'designs']",0.31118202656507493,0.1248913362092647
34,guides,"['actor', 'actors', 'director', 'guides', 'lines']",0.4185759574174881,0.08854679197488675
35,programmer,"['algorithms', 'code', 'codes', 'computer', 'errors']",0.35823163092136384,0.010092949813307541
36,peak,"['ascends', 'challenging', 'climber', 'determination', 'expedition']",0.275285205245018,0.0012439377968788891
37,clinic,"['assists', 'clinic', 'diagnoses', 'doctor', 'medical']",0.5757761895656586,0.08713122247096834
38,moment,"['books', 'enjoys', 'librarian', 'library', 'moment']",0.32528248950839045,0.1283413468355869
39,provides,"['day', 'forecaster', 'meteorologist', 'news', 'predicts']",0.11584841609001159,0.007760560214457755
40,journalist,"['article', 'conducts', 'editor', 'interviews', 'journalist']",0.6006984114646912,0.04629659417628886
41,leads,"['conductor', 'leads', 'live', 'musician', 'orchestra']",0.32001169621944425,0.11976106835555336
42,examines,"['analyst', 'case', 'crime', 'detective', 'evidence']",0.308054706454277,0.009352034293029873
43,architect,"['architect', 'architectural', 'builder', 'constructs', 'designs']",0.6524737477302551,0.06193156838119655
44,space,"['aboard', 'astronaut', 'conducts', 'control', 'experiments']",0.1767024464905262,0.00926316130589835
45,sustainable,"['agronomist', 'crops', 'cultivates', 'farmer', 'farming']",0.2898741185665131,0.01730110343385455
46,ancient,"['ancient', 'anecdotes', 'explores', 'foreign', 'group']",0.4374190241098404,0.08948051164559775
47,issues,"['building', 'electrical', 'electrician', 'electricity', 'issues']",0.3149459004402161,0.11870231665248636
48,garments,"['creates', 'designer', 'details', 'fabric', 'fashion']",0.4606968700885773,0.04705933417794355
49,telescope,"['analyzes', 'astronomer', 'astrophysicist', 'bodies', 'celestial']",0.3402670189738274,0.0372994523495625
50,daily,"['business', 'company', 'daily', 'develops', 'entrepreneur']",0.2799505047500134,0.1331146517002745
51,ecosystems,"['advocates', 'biodiversity', 'conservation', 'ecologist', 'ecosystems']",0.5989722847938538,0.06796826561530991
52,coach,"['coach', 'feedback', 'glides', 'pool', 'provides']",0.3687310218811035,0.10366066374657912
53,excavates,"['canyon', 'excavates', 'excavation', 'formations', 'fossils']",0.45381725430488584,0.09282774793650875
54,laboratory,"['conducts', 'experiments', 'instructs', 'laboratory', 'physics']",0.5247646808624268,0.07308510370799098
55,team,"['building', 'burning', 'captain', 'directs', 'extinguishes']",0.14256059527397155,0.023706762557932724
56,composes,"['anthology', 'composes', 'editor', 'inspired', 'nature']",0.434893037378788,0.09666877896612928
57,recipes,"['chef', 'critic', 'critiques', 'dishes', 'experiments']",0.3146673426032066,0.036053727117722555
58,coach,"['clock', 'coach', 'cyclist', ""cyclist's"", 'endurance']",0.3175728440284729,0.11661206623839973
59,ambassador,"['affairs', 'agreements', 'ambassador', 'country', 'diplomat']",0.5483909487724304,0.08914074442868922
60,health,"['clients', 'conducts', 'counselor', 'health', 'issues']",0.3918513894081116,0.09515169832029835
61,efforts,"['animals', 'captures', 'conservation', 'documents', 'efforts']",0.38864431381225584,0.1034118844032699
62,helps,"['build', 'community', 'construction', 'coordinates', 'helps']",0.3767089478671551,0.11273163191245665
63,sandy,"['beachgoers', 'rides', 'sandy', 'shore', 'sunrise']",0.488806377351284,0.08613334703139017
64,hives,"['apiary', 'beekeeper', 'bees', 'behavior', 'entomologist']",0.23776507377624512,0.053309411405764354
65,guides,"['acrobat', 'circus', 'daring', 'guides', 'performs']",0.35865147709846495,0.10582761062177035
66,artifacts,"['analyzes', 'ancient', 'archaeologist', 'artifacts', 'civilization']",0.5323278784751893,0.06507126196459354
67,chess,"['analyzes', 'chess', 'games', 'grandmaster', 'insights']",0.5014637857675552,0.08221555233685525
68,novelist,"['compelling', 'editor', 'manuscripts', 'novelist', 'publication']",0.5842264831066132,0.04965189456630213
69,runner,"['coach', 'long-distance', 'marathon', 'monitors', 'performance']",0.3131079629063606,0.058092914022943545
70,studies,"['analyzes', 'evolution', 'languages', 'linguist', 'linguistic']",0.3622551500797272,0.0065984672381398475
71,fossils,"['dinosaur', 'discovers', 'examines', 'fossilized', 'fossils']",0.5824154376983642,0.10344523919843399
72,subatomic,"['accelerator', 'analyzes', 'conducts', 'data', 'experiments']",0.18281540274620056,0.0034523404840822282
73,mountain,"['biker', 'biking', 'challenging', 'expedition', 'guide']",0.243427112698555,0.010186024287816764
74,different,"['bee', 'beehive', 'beekeeper', 'behavior', 'different']",0.34508262053132055,0.11913451227696732
75,dance,"['choreographer', 'choreography', 'dance', 'dancer', 'guides']",0.6505338937044144,0.08920394138706267
76,algorithms,"['algorithms', 'application', 'bugs', 'codes', 'engineer']",0.3895765393972397,0.09770771155786004
77,marine,"['analyzes', 'biologist', 'currents', 'ecosystems', 'life']",0.20835611894726752,0.008127179832683231
78,archivist,"['archives', 'archivist', 'documents', 'events', 'historian']",0.49915977120399474,0.07514940717172522
79,robotic,"['applications', 'designs', 'engineer', 'innovative', 'prototypes']",0.32833831310272216,0.00536442185459606
80,powerful,"['astronomer', 'cosmologist', 'distant', 'explores', 'galaxies']",0.19452332854270935,0.0009235869767014826
81,books,"['books', 'captivating', 'immerses', 'librarian', 'library']",0.5006996691226959,0.08451325291466674
82,intricate,"['ceramicist', 'clay', 'finished', 'fires', 'glazes']",0.24676391184329988,0.007935170541034643
83,coach,"['athlete', 'coach', 'competition', 'guidance', 'intensively']",0.41656823754310607,0.09897492823610732
84,food,"['chef', 'critic', 'critiques', 'exotic', 'experiments']",0.17139070630073547,0.011580436408787928
85,works,"['architect', 'buildings', 'city', 'construction', 'envisions']",0.2195757269859314,0.017000328976395772
86,monologue,"['actor', ""actor's"", 'audition', 'director', 'dramatic']",0.34819055795669557,0.0008650666278504105
87,algorithms,"['algorithms', 'bugs', 'codes', 'developer', 'identifies']",0.3796271294355392,0.09960630820832779
88,ecosystems,"['activities', 'advocates', 'ecologist', 'ecosystems', 'environmentalist']",0.48401063680648804,0.08201869745176964
89,engages,"['activities', 'classroom', 'engages', 'imparts', 'interactive']",0.4861654222011566,0.07724163319051543
90,investigative,"['accuracy', 'article', 'clarity', 'editor', 'figures']",0.3817847639322281,0.012814478849163747
91,mountain,"['ascent', 'challenging', 'climber', 'climbing', 'conquers']",0.3577137917280197,0.017864203986622796
92,data,"['analysis', 'assistant', 'assists', 'collection', 'conducts']",0.2795678287744522,0.019086305101859012
93,performs,"['band', 'festival', 'guitar', 'live', 'music']",0.3504369959235191,0.024211087418164457
94,farm,"['agriculturalist', 'cultivates', 'farm', 'farmer', 'farming']",0.7436053991317749,0.032385245484825874
95,analyzes,"['analyzes', 'beauty', 'critic', 'elements', 'inspired']",0.3455508202314377,0.10877698705163041
96,therapy,"['clients', 'conducts', 'counselor', 'emotional', 'provides']",0.40125080943107605,0.013323268967094038
97,market,"['analyst', 'business', 'consumer', 'develops', 'entrepreneur']",0.4353311777114868,0.010143898488806827
